plate_group_label,assay_plate_label,well_position,assay_read_on,col,row,raw_assay_value,volume_uL,MDL,Filled On,Run Number,Filtered out at 12:22:45 PM
PG-4586,833283,B10,4/4/2017 10:17,10,2,1.261,234.51719,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,D4,4/4/2017 10:17,4,4,1.2597,234.267863,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,F1,4/4/2017 10:17,1,6,1.2682,235.898078,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,A10,4/4/2017 10:17,10,1,1.2655,235.380245,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,F5,4/4/2017 10:17,5,6,1.2672,235.706288,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,C6,4/4/2017 10:17,6,3,1.2647,235.226813,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,C4,4/4/2017 10:17,4,3,1.2521,232.810259,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,C5,4/4/2017 10:17,5,3,1.2599,234.306221,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,D1,4/4/2017 10:17,1,4,1.274,237.01046,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,D9,4/4/2017 10:17,9,4,1.2733,236.876207,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,A6,4/4/2017 10:17,6,1,1.2644,235.169276,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,B3,4/4/2017 10:17,3,2,1.256,233.55824,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,C11,4/4/2017 10:17,11,3,1.2596,234.248684,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,B12,4/4/2017 10:17,12,2,1.2574,233.826746,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,B6,4/4/2017 10:17,6,2,1.2631,234.919949,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,A3,4/4/2017 10:17,3,1,1.2635,234.996665,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,B5,4/4/2017 10:17,5,2,1.2579,233.922641,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,G4,4/4/2017 10:17,4,7,1.2546,233.289734,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,C3,4/4/2017 10:17,3,3,1.2593,234.191147,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,F10,4/4/2017 10:17,10,6,1.2648,235.245992,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,E10,4/4/2017 10:17,10,5,1.2613,234.574727,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,C8,4/4/2017 10:17,8,3,1.264,235.09256,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,B4,4/4/2017 10:17,4,2,1.2617,234.651443,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,C7,4/4/2017 10:17,7,3,1.2746,237.125534,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,E2,4/4/2017 10:17,2,5,1.2643,235.150097,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,E3,4/4/2017 10:17,3,5,1.2618,234.670622,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,G8,4/4/2017 10:17,8,7,1.2707,236.377553,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,C10,4/4/2017 10:17,10,3,1.2594,234.210326,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,D8,4/4/2017 10:17,8,4,1.2686,235.974794,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,H8,4/4/2017 10:17,8,8,1.2505,232.503395,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,A11,4/4/2017 10:17,11,1,1.2602,234.363758,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,H11,4/4/2017 10:17,11,8,1.2506,232.522574,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,B11,4/4/2017 10:17,11,2,1.2628,234.862412,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,E5,4/4/2017 10:17,5,5,1.2623,234.766517,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,H3,4/4/2017 10:17,3,8,1.2548,233.328092,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,H10,4/4/2017 10:17,10,8,1.2694,236.128226,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,F11,4/4/2017 10:17,11,6,1.2576,233.865104,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,E12,4/4/2017 10:17,12,5,1.2521,232.810259,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,E1,4/4/2017 10:17,1,5,1.27,236.2433,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,D10,4/4/2017 10:17,10,4,1.2624,234.785696,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,B7,4/4/2017 10:17,7,2,1.2681,235.878899,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,F2,4/4/2017 10:17,2,6,1.2676,235.783004,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,G10,4/4/2017 10:17,10,7,1.264,235.09256,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,A1,4/4/2017 10:17,1,1,1.2645,235.188455,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,H2,4/4/2017 10:17,2,8,1.2685,235.955615,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,F12,4/4/2017 10:17,12,6,1.2561,233.577419,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,D12,4/4/2017 10:17,12,4,1.2584,234.018536,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,D7,4/4/2017 10:17,7,4,1.2808,238.314632,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,G1,4/4/2017 10:17,1,7,1.2637,235.035023,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,G6,4/4/2017 10:17,6,7,1.2669,235.648751,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,H1,4/4/2017 10:17,1,8,1.2618,234.670622,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,D5,4/4/2017 10:17,5,4,1.2678,235.821362,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,E6,4/4/2017 10:17,6,5,1.2666,235.591214,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,G5,4/4/2017 10:17,5,7,1.2658,235.437782,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,A7,4/4/2017 10:17,7,1,1.2697,236.185763,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,H9,4/4/2017 10:17,9,8,1.2621,234.728159,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,D2,4/4/2017 10:17,2,4,1.2696,236.166584,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,F9,4/4/2017 10:17,9,6,1.2654,235.361066,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,E7,4/4/2017 10:17,7,5,1.2649,235.265171,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,E5,4/4/2017 10:19,5,5,1.2625,234.804875,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,D11,4/4/2017 10:19,11,4,1.2672,235.706288,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,F11,4/4/2017 10:19,11,6,1.2567,233.692493,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,B5,4/4/2017 10:19,5,2,1.2573,233.807567,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,H5,4/4/2017 10:19,5,8,1.2556,233.481524,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,G1,4/4/2017 10:19,1,7,1.2626,234.824054,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,H1,4/4/2017 10:19,1,8,1.2612,234.555548,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,F4,4/4/2017 10:19,4,6,1.2662,235.514498,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,G10,4/4/2017 10:19,10,7,1.2598,234.287042,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,F7,4/4/2017 10:19,7,6,1.2705,236.339195,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,F12,4/4/2017 10:19,12,6,1.2562,233.596598,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,G8,4/4/2017 10:19,8,7,1.2686,235.974794,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,G4,4/4/2017 10:19,4,7,1.2534,233.059586,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,G11,4/4/2017 10:19,11,7,1.257,233.75003,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,D4,4/4/2017 10:19,4,4,1.2577,233.884283,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,E4,4/4/2017 10:19,4,5,1.2711,236.454269,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,B11,4/4/2017 10:19,11,2,1.2615,234.613085,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,A5,4/4/2017 10:19,5,1,1.2585,234.037715,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,F2,4/4/2017 10:19,2,6,1.2678,235.821362,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,G5,4/4/2017 10:19,5,7,1.2673,235.725467,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,D10,4/4/2017 10:19,10,4,1.2604,234.402116,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,F5,4/4/2017 10:19,5,6,1.2666,235.591214,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,A6,4/4/2017 10:19,6,1,1.2635,234.996665,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,C3,4/4/2017 10:19,3,3,1.2622,234.747338,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,G6,4/4/2017 10:19,6,7,1.2676,235.783004,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,C4,4/4/2017 10:19,4,3,1.2511,232.618469,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,C2,4/4/2017 10:19,2,3,1.268,235.85972,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,G2,4/4/2017 10:19,2,7,1.2642,235.130918,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,C7,4/4/2017 10:19,7,3,1.2715,236.530985,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,A1,4/4/2017 10:19,1,1,1.2636,235.015844,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,C8,4/4/2017 10:19,8,3,1.2625,234.804875,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,H4,4/4/2017 10:19,4,8,1.2624,234.785696,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,A10,4/4/2017 10:19,10,1,1.262,234.70898,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,C1,4/4/2017 10:19,1,3,1.2509,232.580111,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,D7,4/4/2017 10:19,7,4,1.2725,236.722775,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,B1,4/4/2017 10:19,1,2,1.2634,234.977486,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,H10,4/4/2017 10:19,10,8,1.2713,236.492627,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,E10,4/4/2017 10:19,10,5,1.2603,234.382937,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,H3,4/4/2017 10:19,3,8,1.2566,233.673314,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,E6,4/4/2017 10:19,6,5,1.266,235.47614,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,B8,4/4/2017 10:19,8,2,1.257,233.75003,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,A4,4/4/2017 10:19,4,1,1.2579,233.922641,MDL-7658,4/4/2017,1,Untagged
PG-4586,833284,E11,4/4/2017 10:19,11,5,1.2591,234.152789,MDL-7658,4/4/2017,1,Untagged
